image_uid,model,top1,top2,top3,top4,top5,p1,p2,p3,p4,p5,entropy
img_0019,resnet50,revolver,book jacket,hair spray,fur coat,bow tie,0.07833219319581985,0.024456504732370377,0.01984420046210289,0.01853298954665661,0.017040077596902847,5.968061447143555
img_0020,resnet50,stage,microphone,sax,suit,bow tie,0.0837269201874733,0.05890924856066704,0.05512436106801033,0.03715359419584274,0.036577582359313965,5.43572998046875
img_0021,resnet50,basketball,maillot,parallel bars,barbell,brassiere,0.5582764744758606,0.017910752445459366,0.006022831425070763,0.004502090159803629,0.004415011964738369,3.6069507598876953
img_0022,resnet50,ballplayer,baseball,trombone,bow,soccer ball,0.14153091609477997,0.08001432567834854,0.021960314363241196,0.01548121776431799,0.012684856541454792,5.678450584411621
img_0023,resnet50,wig,lipstick,suit,feather boa,brassiere,0.13774913549423218,0.0162919070571661,0.015852462500333786,0.015821529552340508,0.01566777564585209,5.871021747589111
img_0024,resnet50,sports car,convertible,car wheel,racer,pickup,0.14029425382614136,0.12236682325601578,0.06057596951723099,0.023082032799720764,0.02276860550045967,5.4617767333984375
img_0025,resnet50,tench,sleeping bag,coho,king crab,barracouta,0.05653827264904976,0.04632579907774925,0.03510541096329689,0.028989944607019424,0.02279895357787609,5.925078868865967
img_0026,resnet50,modem,notebook,hard disc,iPod,laptop,0.18121673166751862,0.1461816430091858,0.060463353991508484,0.02856086753308773,0.02405066229403019,5.026318073272705
img_0027,resnet50,suit,oboe,wool,bassoon,stethoscope,0.17011679708957672,0.022314466536045074,0.020597239956259727,0.020436951890587807,0.020159441977739334,5.486455917358398
img_0028,resnet50,ice lolly,bath towel,nipple,bathtub,spatula,0.1942681223154068,0.05832987278699875,0.05331781506538391,0.03389086574316025,0.02508736401796341,5.133794784545898
img_0029,resnet50,jersey,bassoon,bow tie,oboe,microphone,0.14708320796489716,0.019444435834884644,0.01805354841053486,0.01805354841053486,0.017808401957154274,5.552518844604492
img_0030,resnet50,palace,dome,bell cote,obelisk,triumphal arch,0.3556118607521057,0.03807145729660988,0.0167299285531044,0.009912154637277126,0.008972392417490482,4.821503639221191
img_0031,resnet50,paintbrush,burrito,piggy bank,crayfish,tailed frog,0.10624748468399048,0.05754054710268974,0.05642761290073395,0.03878209367394447,0.024364199489355087,5.598957061767578
img_0032,resnet50,palace,fountain,carousel,restaurant,altar,0.1798737645149231,0.15935932099819183,0.031014125794172287,0.02673584781587124,0.022251546382904053,4.698488712310791
img_0033,resnet50,Windsor tie,bow tie,suit,military uniform,lab coat,0.10921259224414825,0.08406393229961395,0.0792798325419426,0.07805072516202927,0.07594543695449829,4.980588436126709
img_0034,resnet50,Dutch oven,potpie,French loaf,frying pan,dough,0.16300873458385468,0.14162445068359375,0.10565827786922455,0.03963613882660866,0.0068877278827130795,5.023412227630615
img_0035,resnet50,pedestal,fountain,pier,fireboat,trench coat,0.09957069158554077,0.024544240906834602,0.020071588456630707,0.018239730969071388,0.015971241518855095,5.975558757781982
img_0036,resnet50,crash helmet,motor scooter,moped,mountain bike,military uniform,0.27391576766967773,0.06765241920948029,0.0450662299990654,0.04317080229520798,0.025677962228655815,4.576322555541992
img_0037,resnet50,potter's wheel,mixing bowl,mortar,apron,Band Aid,0.4726144075393677,0.03191152960062027,0.025047646835446358,0.011854801326990128,0.0066499412059783936,3.978492259979248
img_0038,resnet50,suit,Windsor tie,notebook,cornet,academic gown,0.30669769644737244,0.1934318244457245,0.011149664409458637,0.010701606050133705,0.01059760618954897,4.210777282714844
img_0039,resnet50,suit,Windsor tie,groom,bassoon,oboe,0.16655977070331573,0.1646192967891693,0.02911383844912052,0.012546186335384846,0.011423432268202305,5.2338457107543945
img_0040,resnet50,sorrel,worm fence,cowboy hat,muzzle,sombrero,0.45941272377967834,0.018559182062745094,0.011682289652526379,0.005897215101867914,0.003990255296230316,4.294588088989258
img_0041,resnet50,spatula,bakery,tray,toaster,restaurant,0.20563022792339325,0.11400426179170609,0.07162126898765564,0.022317618131637573,0.012592618353664875,4.979593276977539
img_0042,resnet50,paddle,canoe,yawl,marimba,shovel,0.17211832106113434,0.039934661239385605,0.011067816987633705,0.010376964695751667,0.005958989262580872,5.889019012451172
img_0043,resnet50,cliff dwelling,cliff,megalith,valley,meerkat,0.1651565581560135,0.07801443338394165,0.0724339485168457,0.03699564188718796,0.010766346007585526,5.384537696838379
img_0044,resnet50,ox,oxcart,American Staffordshire terrier,rapeseed,bison,0.5267737507820129,0.04957515746355057,0.00823643896728754,0.005649770610034466,0.004683824256062508,3.6922240257263184
img_0045,resnet50,German short-haired pointer,Staffordshire bullterrier,American Staffordshire terrier,toy terrier,boxer,0.12770086526870728,0.10586772859096527,0.06808686256408691,0.033182885497808456,0.028272172436118126,5.170292377471924
img_0046,resnet50,strainer,eggnog,mixing bowl,dough,consomme,0.20855264365673065,0.1279846429824829,0.06562399864196777,0.021388377994298935,0.01766246184706688,4.8876752853393555
img_0047,resnet50,prison,sliding door,mortarboard,window screen,radiator,0.04689733684062958,0.03949151560664177,0.024568777531385422,0.02433001808822155,0.019626233726739883,6.122035503387451
img_0048,resnet50,gasmask,coho,ski mask,sturgeon,barracouta,0.1790134608745575,0.07148533314466476,0.0565495528280735,0.03363563120365143,0.026712117716670036,5.173275947570801
img_0049,resnet50,space shuttle,missile,mashed potato,projectile,cauliflower,0.36571618914604187,0.0035853551235049963,0.002695817034691572,0.002138823736459017,0.0015655610477551818,5.01620626449585
img_0050,resnet50,worm fence,geyser,alp,cowboy boot,bannister,0.08740045130252838,0.05754294991493225,0.04032868519425392,0.025835523381829262,0.022184785455465317,5.73349666595459
img_0051,resnet50,tabby,tiger cat,Egyptian cat,velvet,remote control,0.16881845891475677,0.10041309893131256,0.020162489265203476,0.014837879687547684,0.009864872321486473,5.534199237823486
img_0052,resnet50,golden retriever,tennis ball,soccer ball,Brittany spaniel,flat-coated retriever,0.46316292881965637,0.027277104556560516,0.011685998179018497,0.006776559632271528,0.006134080234915018,4.192702770233154
img_0053,resnet50,cowboy hat,bow tie,seat belt,neck brace,Band Aid,0.03187976032495499,0.028857270255684853,0.028243903070688248,0.019602227956056595,0.01845058985054493,6.135969161987305
img_0054,resnet50,jersey,sunscreen,neck brace,abaya,bassoon,0.08639849722385406,0.01992894895374775,0.016716431826353073,0.015430005267262459,0.014551881700754166,6.025347709655762
img_0055,resnet50,suit,pick,military uniform,Windsor tie,bow tie,0.2900157570838928,0.022495035082101822,0.021423030644655228,0.01861264929175377,0.01751914992928505,4.994140148162842
img_0056,resnet50,neck brace,Yorkshire terrier,Lhasa,wig,Sussex spaniel,0.05253949016332626,0.02590753510594368,0.020494546741247177,0.020058929920196533,0.017529914155602455,6.197250843048096
img_0057,resnet50,wig,bikini,stethoscope,brassiere,bow tie,0.09985239803791046,0.03229094296693802,0.0280001163482666,0.02756601572036743,0.019094420596957207,5.788900852203369
img_0058,resnet50,stethoscope,lipstick,face powder,academic gown,neck brace,0.08929182589054108,0.05787677690386772,0.053736764937639236,0.0241737961769104,0.0226648710668087,5.757509231567383
img_0059,resnet50,suit,groom,Windsor tie,bow tie,stage,0.0547800250351429,0.04401698708534241,0.03048967570066452,0.024213720113039017,0.0214521661400795,6.04462194442749
img_0060,resnet50,jackfruit,lemon,orange,hotdog,burrito,0.1107531189918518,0.10323326289653778,0.033124469220638275,0.023124607279896736,0.017489496618509293,5.60776424407959
img_0061,resnet50,basketball,punching bag,maraca,dumbbell,ballplayer,0.6659780144691467,0.006789105013012886,0.00584115507081151,0.004842487629503012,0.0044005317613482475,2.860178232192993
img_0062,resnet50,racket,torch,tennis ball,soccer ball,lab coat,0.058327898383140564,0.05764836072921753,0.03233779966831207,0.027231154963374138,0.02075687237083912,5.7729902267456055
img_0064,resnet50,suit,dial telephone,lab coat,Windsor tie,groom,0.23384396731853485,0.08469267189502716,0.050968948751688004,0.046046607196331024,0.04031975567340851,4.606278419494629
img_0065,resnet50,monitor,desk,desktop computer,screen,mouse,0.12034236639738083,0.10914578288793564,0.07157955318689346,0.04062579572200775,0.03906944394111633,5.2183756828308105
img_0066,resnet50,hotdog,French loaf,dough,cleaver,rubber eraser,0.10433924198150635,0.030842620879411697,0.016573479399085045,0.015508643351495266,0.014972890727221966,5.910565376281738
img_0067,resnet50,cucumber,plate,hotdog,burrito,guacamole,0.1482655107975006,0.09954075515270233,0.07254164665937424,0.04966272413730621,0.03521614521741867,5.035516262054443
img_0068,resnet50,cowboy hat,mortarboard,academic gown,military uniform,sombrero,0.2940145432949066,0.08691053092479706,0.05545991659164429,0.03234948217868805,0.018217436969280243,4.6319684982299805
img_0069,resnet50,comic book,suit,wig,mortarboard,academic gown,0.04393385350704193,0.04047376289963722,0.027119778096675873,0.022351734340190887,0.01597406528890133,6.1351094245910645
img_0070,resnet50,cardigan,military uniform,balance beam,jersey,racket,0.08488259464502335,0.05856722965836525,0.021927760913968086,0.019051168113946915,0.018002089112997055,5.949716567993164
img_0071,resnet50,necklace,safety pin,vase,hook,loudspeaker,0.39806362986564636,0.027407880872488022,0.01932155340909958,0.012870930135250092,0.011470022611320019,4.525734901428223
img_0072,resnet50,fire engine,tow truck,fireboat,ambulance,Norwich terrier,0.38919782638549805,0.003619563300162554,0.003036094829440117,0.0016881919000297785,0.0013832548866048455,4.865262508392334
img_0073,resnet50,pot,vase,greenhouse,grocery store,fig,0.0698072537779808,0.055873025208711624,0.031341925263404846,0.028592940419912338,0.02301998808979988,5.870577812194824
img_0074,resnet50,acoustic guitar,electric guitar,pick,banjo,violin,0.5130069255828857,0.011970878578722477,0.005599689669907093,0.00496105058118701,0.001886683632619679,3.9922990798950195
img_0075,resnet50,bow,overskirt,gown,wig,maillot tank suit,0.056726060807704926,0.03549826517701149,0.027917377650737762,0.022214243188500404,0.018237285315990448,5.973393440246582
img_0076,resnet50,sombrero,banjo,acoustic guitar,cello,cornet,0.2516201138496399,0.08936813473701477,0.050920430570840836,0.04954693838953972,0.03682015836238861,4.386765480041504
img_0077,resnet50,letter opener,hair slide,coil,corkscrew,hook,0.06967710703611374,0.04096105694770813,0.040168799459934235,0.026810502633452415,0.021796783432364464,5.969669818878174
img_0078,resnet50,suit,Windsor tie,West Highland white terrier,sax,oboe,0.27451765537261963,0.25587859749794006,0.010458733886480331,0.005341798532754183,0.004650108516216278,4.161488056182861
img_0079,resnet50,bow tie,suit,military uniform,oboe,bassoon,0.09624724090099335,0.07525079697370529,0.04172009229660034,0.040594760328531265,0.03653133288025856,5.221493244171143
img_0080,resnet50,hair slide,Band Aid,wig,bonnet,shower cap,0.2790834605693817,0.15655162930488586,0.04887780174612999,0.016212908551096916,0.015082606114447117,4.324153900146484
img_0081,resnet50,gazelle,impala,ox,ram,llama,0.12528090178966522,0.06324175000190735,0.0231294184923172,0.021307816728949547,0.01577289216220379,5.96377420425415
img_0082,resnet50,car mirror,sunglasses,seat belt,cellular telephone,sunglass,0.09165499359369278,0.056688010692596436,0.04626740515232086,0.025106066837906837,0.017221463844180107,5.980772018432617
img_0083,resnet50,stole,wig,microphone,oboe,sax,0.04850535839796066,0.036187201738357544,0.02885095216333866,0.026682769879698753,0.024533353745937347,5.828075885772705
img_0084,resnet50,assault rifle,rifle,bow,bulletproof vest,banjo,0.21027813851833344,0.04601189121603966,0.02879350446164608,0.01360108982771635,0.009421199560165405,5.479943752288818
img_0085,resnet50,groom,notebook,hair spray,Band Aid,lab coat,0.0473584346473217,0.028113801032304764,0.02339838072657585,0.016462817788124084,0.01598750427365303,6.011125564575195
img_0086,resnet50,coral reef,coral fungus,sea anemone,brain coral,cardoon,0.6215148568153381,0.057584505528211594,0.03372020646929741,0.01294961478561163,0.01260032132267952,2.7236905097961426
img_0087,resnet50,tiger,tiger cat,jaguar,Australian terrier,zebra,0.36042970418930054,0.10992485284805298,0.0010962405940517783,0.0009271928574889898,0.0008973507792688906,4.59901762008667
img_0088,resnet50,rocking chair,drum,accordion,cradle,drumstick,0.12092117965221405,0.04500878229737282,0.026253391057252884,0.02362549491226673,0.012596515007317066,5.872671127319336
img_0089,resnet50,lycaenid,sulphur butterfly,ringlet,cabbage butterfly,lacewing,0.34546804428100586,0.058414049446582794,0.0232355035841465,0.006241548340767622,0.001683174166828394,4.877164363861084
img_0090,resnet50,hair spray,drumstick,microphone,Band Aid,brassiere,0.08722981810569763,0.019012728706002235,0.01721015013754368,0.01454912219196558,0.012591215781867504,6.052383899688721
img_0091,resnet50,lab coat,sunscreen,bottlecap,beaker,Band Aid,0.23004615306854248,0.01433765608817339,0.011057663708925247,0.010571924038231373,0.01044875755906105,5.50478458404541
img_0092,resnet50,macaque,patas,guenon,langur,titi,0.333466112613678,0.08767210692167282,0.027372565120458603,0.02355058491230011,0.02199447527527809,4.607990264892578
img_0093,resnet50,hare,wood rabbit,Angora,fox squirrel,mink,0.2640744745731354,0.17798511683940887,0.00236644153483212,0.0014679229352623224,0.0012759764213114977,4.8260345458984375
img_0094,resnet50,analog clock,matchstick,rule,spotlight,letter opener,0.1362159252166748,0.04154351353645325,0.03933260217308998,0.031114650890231133,0.015312882140278816,5.530571937561035
img_0095,resnet50,coyote,red wolf,grey fox,timber wolf,dhole,0.5430908799171448,0.01880260370671749,0.012403514236211777,0.011096743866801262,0.006849871017038822,3.694308280944824
img_0096,resnet50,bald eagle,kite,vulture,black grouse,black swan,0.36361879110336304,0.003839433193206787,0.0027093044482171535,0.0023106117732822895,0.0014221370220184326,5.031048774719238
img_0097,resnet50,tusker,African elephant,Indian elephant,bull mastiff,rifle,0.3051389455795288,0.20326635241508484,0.03587864339351654,0.0009486927883699536,0.0009012795053422451,4.301970481872559
img_0098,resnet50,king penguin,killer whale,toucan,albatross,magpie,0.5109052658081055,0.003385774325579405,0.0021647762041538954,0.0012939098523929715,0.0012262462405487895,4.055614948272705
img_0099,resnet50,hammerhead,tiger shark,great white shark,killer whale,sea lion,0.2950798273086548,0.060419291257858276,0.0426766611635685,0.025088315829634666,0.01969204470515251,4.875876426696777
img_0100,resnet50,garter snake,thunder snake,night snake,king snake,sidewinder,0.3451095521450043,0.08490373939275742,0.02619941160082817,0.017520878463983536,0.007928187027573586,4.665040969848633
img_0101,resnet50,barn spider,wolf spider,harvestman,black widow,garden spider,0.4761359989643097,0.07652202248573303,0.05642379820346832,0.02083839662373066,0.017513448372483253,3.58870267868042
img_0102,resnet50,leopard,jaguar,cheetah,snow leopard,dalmatian,0.40335214138031006,0.03285150229930878,0.010459035634994507,0.002798565197736025,0.001998092047870159,4.659865856170654
img_0103,resnet50,stingray,electric ray,hammerhead,sandbar,tiger shark,0.3417932987213135,0.06128016114234924,0.0011994490632787347,0.0010704647284001112,0.0010199493262916803,4.961897373199463
img_0104,resnet50,snail,slug,conch,nematode,drumstick,0.4574151039123535,0.005201925523579121,0.001488921814598143,0.0009418063564226031,0.0009358469978906214,4.419943809509277
img_0105,resnet50,tree frog,tailed frog,meat loaf,bullfrog,European fire salamander,0.2695489525794983,0.0670960396528244,0.002451143693178892,0.002184354467317462,0.0014395464677363634,5.37556791305542
img_0106,resnet50,acorn,lycaenid,ringlet,bee,cabbage butterfly,0.10397384315729141,0.03551377356052399,0.019083553925156593,0.016612492501735687,0.015364044345915318,5.928241729736328
img_0107,resnet50,ladybug,leaf beetle,daisy,bee,fly,0.402776837348938,0.026722129434347153,0.0037678617518395185,0.0016205370193347335,0.0014100109692662954,4.707869052886963
img_0108,resnet50,bow tie,military uniform,suit,cowboy hat,revolver,0.12112770229578018,0.10773321241140366,0.05354054272174835,0.04561711102724075,0.02080361172556877,5.355928421020508
img_0109,resnet50,suit,Windsor tie,bow tie,wig,groom,0.24669195711612701,0.08263145387172699,0.019588395953178406,0.013306045904755592,0.009715916588902473,5.108936309814453
img_0110,resnet50,swimming trunks,maillot,maillot tank suit,bikini,sarong,0.23121421039104462,0.031413912773132324,0.027614600956439972,0.021973319351673126,0.014955264516174793,5.314352989196777
img_0111,resnet50,mountain bike,disk brake,crash helmet,malamute,unicycle,0.6045754551887512,0.02906022034585476,0.009144204668700695,0.0034911446273326874,0.001665283227339387,3.256462812423706
img_0112,resnet50,palace,dome,bell cote,mosque,seashore,0.19580194354057312,0.1324862241744995,0.04596521705389023,0.025986377149820328,0.023568620905280113,4.740385055541992
img_0113,resnet50,pedestal,binoculars,wing,sundial,parachute,0.24782094359397888,0.020144691690802574,0.014481366612017155,0.009991842322051525,0.007781655061990023,5.50190544128418
img_0114,resnet50,mask,breastplate,comic book,syringe,gasmask,0.14236438274383545,0.07328290492296219,0.04078808054327965,0.023884592577815056,0.018857400864362717,5.5411481857299805
img_0115,resnet50,lipstick,wig,hair slide,mask,hair spray,0.18930667638778687,0.11986152827739716,0.016412707045674324,0.015508918091654778,0.013633213005959988,5.219421863555908
img_0116,resnet50,wig,velvet,kimono,lipstick,maillot,0.23108124732971191,0.013850429095327854,0.011042525060474873,0.010681898333132267,0.010153001174330711,5.5445075035095215
img_0117,resnet50,mosque,dome,palace,monastery,obelisk,0.45485663414001465,0.00909634679555893,0.007750184740871191,0.002565742703154683,0.001828289357945323,4.390128135681152
img_0118,resnet50,oboe,cornet,French horn,sax,trombone,0.07712342590093613,0.02356730028986931,0.021249737590551376,0.01901097595691681,0.018679717555642128,5.975752353668213
img_0119,resnet50,ping-pong ball,trench coat,lab coat,cellular telephone,military uniform,0.02210947684943676,0.017627211287617683,0.01639830879867077,0.01577010005712509,0.014642041176557541,6.143661022186279
img_0120,resnet50,suit,Windsor tie,academic gown,kimono,wig,0.1364998072385788,0.03099733777344227,0.025547562167048454,0.013971595093607903,0.013944333419203758,5.879135608673096
img_0121,resnet50,bow tie,suit,Windsor tie,bassoon,oboe,0.3926345109939575,0.05590537190437317,0.03695119172334671,0.03553561493754387,0.03051418624818325,4.1527557373046875
img_0122,resnet50,hair spray,suit,wig,military uniform,microphone,0.04432922229170799,0.03927351534366608,0.03575894236564636,0.025456132367253304,0.025208745151758194,5.966785430908203
img_0123,resnet50,pier,suspension bridge,fireboat,promontory,container ship,0.18789881467819214,0.12322705239057541,0.0389268733561039,0.02374909073114395,0.022973494604229927,5.299507141113281
img_0124,resnet50,pier,airship,steel arch bridge,bow,sundial,0.04907308146357536,0.032308872789144516,0.024388017132878304,0.024103887379169464,0.019866080954670906,6.055939674377441
img_0125,resnet50,stupa,cliff dwelling,cliff,obelisk,triumphal arch,0.5403112173080444,0.04504987969994545,0.028412602841854095,0.020787104964256287,0.009260323829948902,3.4712038040161133
img_0126,resnet50,suit,Windsor tie,stage,bow tie,cornet,0.17957930266857147,0.10681363940238953,0.048712193965911865,0.026175808161497116,0.02597210742533207,4.9335432052612305
img_0127,resnet50,space shuttle,marimba,torch,airliner,missile,0.5266439318656921,0.00260375440120697,0.002088092966005206,0.0020437100902199745,0.0019105363171547651,3.924739360809326
img_0128,resnet50,pier,suspension bridge,fireboat,viaduct,steel arch bridge,0.534563422203064,0.036662809550762177,0.031237104907631874,0.0029454997275024652,0.002271664561703801,3.651203155517578
img_0129,resnet50,mosque,dome,palace,planetarium,monitor,0.2725410461425781,0.2641558349132538,0.06837291270494461,0.016821080818772316,0.009163343347609043,3.7577641010284424
img_0130,resnet50,space shuttle,dome,church,monastery,thatch,0.10594180971384048,0.031809501349925995,0.02462853118777275,0.022600412368774414,0.021189695224165916,6.068340301513672
img_0131,resnet50,castle,palace,monastery,valley,church,0.841178834438324,0.006876870058476925,0.003574648406356573,0.0029061685781925917,0.001861761324107647,1.4869341850280762
img_0132,resnet50,alp,valley,cliff,lakeside,stupa,0.19061239063739777,0.16431814432144165,0.043539974838495255,0.007093837019056082,0.006875582970678806,5.127463340759277
img_0133,resnet50,lakeside,seashore,promontory,cliff,valley,0.178981214761734,0.120632603764534,0.10813436657190323,0.036504559218883514,0.02222779020667076,4.891376495361328
img_0134,resnet50,ping-pong ball,stage,oboe,bassoon,flute,0.08569701761007309,0.037879567593336105,0.03342859819531441,0.027930639684200287,0.025233229622244835,5.682553291320801
img_0135,resnet50,suit,Windsor tie,bow tie,oboe,bassoon,0.1602601855993271,0.12727242708206177,0.07540641725063324,0.03479434549808502,0.026161756366491318,4.959343433380127
img_0136,resnet50,hand blower,punching bag,dumbbell,power drill,shower cap,0.21014408767223358,0.18329092860221863,0.060207292437553406,0.04319661855697632,0.023855436593294144,4.3149518966674805
img_0137,resnet50,sunglasses,sunglass,jersey,plunger,lens cap,0.1390714794397354,0.0646742433309555,0.01261135283857584,0.01047561876475811,0.008735627867281437,5.830987930297852
img_0138,resnet50,great grey owl,kite,bald eagle,tabby,ptarmigan,0.38195785880088806,0.056995172053575516,0.02734658308327198,0.021173113957047462,0.011738668195903301,4.405643939971924
img_0139,resnet50,hippopotamus,warthog,hog,Mexican hairless,water buffalo,0.09494838118553162,0.04906653240323067,0.04591403529047966,0.039272356778383255,0.03106699138879776,5.791089057922363
img_0140,resnet50,peacock,ear,European gallinule,wreck,lighter,0.4600581228733063,0.0012097755679860711,0.0012097755679860711,0.0009811422787606716,0.0009495637496002018,4.413461685180664
img_0141,resnet50,giant panda,limousine,indri,teddy,capuchin,0.4505723714828491,0.0036727783735841513,0.002096777316182852,0.0016297854017466307,0.001370407990179956,4.4663615226745605
img_0142,resnet50,Arabian camel,dowitcher,impala,llama,bustard,0.37886327505111694,0.0014795903116464615,0.0014008479192852974,0.0012905215844511986,0.0012698937207460403,4.943393707275391
img_0143,resnet50,jellyfish,corn,chambered nautilus,nematode,tick,0.7634512186050415,0.002531633712351322,0.0014312559505924582,0.0011796207400038838,0.0010803686454892159,2.165701389312744
img_0144,resnet50,grey fox,red fox,badger,kit fox,timber wolf,0.04814799875020981,0.03454450145363808,0.02669391967356205,0.024305090308189392,0.0212407223880291,6.183599472045898
img_0145,resnet50,loggerhead,leatherback turtle,terrapin,scuba diver,whiptail,0.20747755467891693,0.13929383456707,0.08854055404663086,0.013791958801448345,0.004157304298132658,4.986716270446777
img_0146,resnet50,racket,ballplayer,puck,football helmet,stethoscope,0.0895056426525116,0.046253886073827744,0.032290417701005936,0.023303382098674774,0.01928148791193962,5.860490322113037
img_0147,resnet50,ping-pong ball,pool table,laptop,Band Aid,mouse,0.057996638119220734,0.048838064074516296,0.029679695144295692,0.015886396169662476,0.013829324394464493,6.079553604125977
img_0148,resnet50,suit,Windsor tie,oboe,bassoon,groom,0.1544288843870163,0.12168703228235245,0.04028518497943878,0.03287980705499649,0.022247591987252235,5.215248107910156
img_0149,resnet50,suit,groom,Windsor tie,bow tie,notebook,0.208790585398674,0.11088784039020538,0.06912130862474442,0.027280593290925026,0.023981178179383278,4.8478007316589355
img_0150,resnet50,suit,Windsor tie,bow tie,oboe,lab coat,0.1116982251405716,0.018997671082615852,0.01692991331219673,0.012337899766862392,0.011124614626169205,6.0669355392456055
img_0151,resnet50,suit,Windsor tie,bolo tie,bow tie,oboe,0.14979156851768494,0.03368515521287918,0.0331629179418087,0.03139801695942879,0.023196710273623466,5.6885809898376465
img_0152,resnet50,oboe,drumstick,Band Aid,banjo,bow tie,0.026315366849303246,0.020414527505636215,0.017461471259593964,0.016990479081869125,0.014223828911781311,6.203036308288574
img_0153,resnet50,suit,bow tie,Windsor tie,bolo tie,groom,0.22992940247058868,0.19286511838436127,0.08262686431407928,0.039490241557359695,0.008828690275549889,4.29929256439209
img_0154,resnet50,sunglass,wig,sunglasses,bearskin,chain,0.283261775970459,0.16980533301830292,0.06807365268468857,0.012157350778579712,0.010138026438653469,4.252776622772217
img_0155,resnet50,jersey,drumstick,plunger,wig,microphone,0.023481739684939384,0.02020302787423134,0.013966921716928482,0.013966921716928482,0.013831190764904022,6.3243231773376465
img_0156,resnet50,anemone fish,coral reef,rock beauty,sea anemone,puffer,0.4875887334346771,0.024275612086057663,0.013777902349829674,0.01089921873062849,0.004687695298343897,4.078619956970215
img_0157,resnet50,flute,oboe,pajama,kimono,ocarina,0.10440315306186676,0.05311601981520653,0.047058191150426865,0.02558509260416031,0.014019474387168884,5.788163185119629
img_0158,resnet50,stage,microphone,mask,racket,ping-pong ball,0.15101216733455658,0.0747564435005188,0.05555427446961403,0.03278649225831032,0.026655230671167374,5.135567665100098
img_0159,resnet50,cheetah,leopard,jaguar,snow leopard,tiger cat,0.4140905439853668,0.012528897263109684,0.0040556383319199085,0.0016693139914423227,0.0015835646772757173,4.679900646209717
img_0160,resnet50,parachute,crash helmet,football helmet,snowmobile,cloak,0.11703547090291977,0.06000982224941254,0.051329124718904495,0.02069837413728237,0.02069837413728237,5.560911178588867
