task,area,category,n_concept_cells,n_pref,frac_pref,frac_shown_expected,odds_ratio,p,q
screening,hippocampus,face_person,17,6,0.35294117647058826,0.4701213818860877,0.6492357200321802,0.46433842601875763,0.9572078841256774
screening,hippocampus,food,17,1,0.058823529411764705,0.016339869281045753,2.3173076923076925,0.3805674509531199,0.9572078841256774
screening,hippocampus,landmark_place,17,3,0.17647058823529413,0.16619981325863675,1.5535714285714286,0.45257465062481583,0.9572078841256774
screening,hippocampus,landscape_nature,17,1,0.058823529411764705,0.05088702147525677,1.4107142857142858,0.5317821578475985,0.9572078841256774
screening,hippocampus,object,17,0,0.0,0.03127917833800186,0.0,1.0,1.0
screening,hippocampus,scene_with_people,17,2,0.11764705882352941,0.04948646125116713,2.6166666666666667,0.21147925858764263,0.9572078841256774
screening,hippocampus,vehicle,17,2,0.11764705882352941,0.08730158730158731,1.2416666666666667,0.6774230166716324,1.0
screening,MFC,animal,10,1,0.1,0.13703703703703704,1.101010101010101,1.0,1.0
screening,MFC,cartoon_art,10,0,0.0,0.0031746031746031746,0.0,1.0,1.0
screening,MFC,face_person,10,4,0.4,0.41904761904761906,0.8148148148148148,1.0,1.0
screening,MFC,food,10,1,0.1,0.03333333333333333,4.333333333333333,0.24226981818054213,1.0
screening,MFC,landmark_place,10,4,0.4,0.17407407407407408,3.142857142857143,0.08712994355690362,0.7841694920121326
screening,MFC,landscape_nature,10,0,0.0,0.07777777777777777,0.0,1.0,1.0
screening,MFC,object,10,0,0.0,0.04656084656084656,0.0,1.0,1.0
screening,MFC,scene_with_people,10,0,0.0,0.0365079365079365,0.0,1.0,1.0
screening,MFC,vehicle,10,0,0.0,0.07248677248677247,0.0,1.0,1.0
sternberg,MTL,animal,111,10,0.09009009009009009,0.08648648648648644,0.8910891089108911,0.8137049844881068,1.0
sternberg,MTL,cartoon_art,111,1,0.009009009009009009,0.023423423423423424,0.4,0.5879021975549389,1.0
sternberg,MTL,face_person,111,64,0.5765765765765766,0.5621621621621619,1.1393834129396438,0.6701386908853402,1.0
sternberg,MTL,food,111,1,0.009009009009009009,0.009009009009009009,0.8090909090909091,1.0,1.0
sternberg,MTL,landmark_place,111,5,0.04504504504504504,0.059459459459459484,0.5592991913746631,0.3794742701871954,1.0
sternberg,MTL,landscape_nature,111,4,0.036036036036036036,0.052252252252252274,0.8037383177570093,1.0,1.0
sternberg,MTL,object,111,6,0.05405405405405406,0.052252252252252274,0.8,0.7701976483851144,1.0
sternberg,MTL,scene_with_people,111,14,0.12612612612612611,0.08648648648648646,1.711340206185567,0.3547931986466482,1.0
sternberg,MTL,vehicle,111,6,0.05405405405405406,0.0684684684684685,0.9714285714285714,1.0,1.0
sternberg,amygdala,animal,78,6,0.07692307692307693,0.07179487179487183,1.5833333333333333,0.7313720420264476,1.0
sternberg,amygdala,cartoon_art,78,1,0.01282051282051282,0.017948717948717947,0.7662337662337663,1.0,1.0
sternberg,amygdala,face_person,78,49,0.6282051282051282,0.6230769230769229,0.9782214156079855,1.0,1.0
sternberg,amygdala,food,78,0,0.0,0.002564102564102564,0.0,0.43478260869565216,1.0
sternberg,amygdala,landmark_place,78,1,0.01282051282051282,0.0358974358974359,0.18181818181818182,0.16668299748047277,1.0
sternberg,amygdala,landscape_nature,78,4,0.05128205128205128,0.06923076923076926,1.027027027027027,1.0,1.0
sternberg,amygdala,object,78,5,0.0641025641025641,0.04871794871794873,1.3013698630136987,1.0,1.0
sternberg,amygdala,scene_with_people,78,10,0.1282051282051282,0.07179487179487183,1.6176470588235294,0.5824626768059524,1.0
sternberg,amygdala,vehicle,78,2,0.02564102564102564,0.058974358974358994,0.7631578947368421,1.0,1.0
sternberg,hippocampus,animal,33,4,0.12121212121212122,0.12121212121212124,1.0443349753694582,1.0,1.0
sternberg,hippocampus,cartoon_art,33,0,0.0,0.03636363636363636,0.0,0.5371669004207572,1.0
sternberg,hippocampus,face_person,33,15,0.45454545454545453,0.4181818181818182,0.9523809523809523,1.0,1.0
sternberg,hippocampus,food,33,1,0.030303030303030304,0.024242424242424242,1.84375,1.0,1.0
sternberg,hippocampus,landmark_place,33,4,0.12121212121212122,0.11515151515151517,1.5172413793103448,0.7160134708700993,1.0
sternberg,hippocampus,landscape_nature,33,0,0.0,0.012121212121212121,0.0,0.5371669004207572,1.0
sternberg,hippocampus,object,33,1,0.030303030303030304,0.0606060606060606,0.34375,0.4172801160209956,1.0
sternberg,hippocampus,scene_with_people,33,4,0.12121212121212122,0.12121212121212124,1.5172413793103448,0.7160134708700993,1.0
sternberg,hippocampus,vehicle,33,4,0.12121212121212122,0.09090909090909093,1.5172413793103448,0.7160134708700993,1.0
sternberg,MFC,animal,30,1,0.03333333333333333,0.04,0.4827586206896552,0.6612981130880269,0.9919471696320402
sternberg,MFC,cartoon_art,30,6,0.2,0.05333333333333333,7.25,0.01520963354402029,0.13688670189618263
sternberg,MFC,face_person,30,14,0.4666666666666667,0.5599999999999999,0.6691176470588235,0.3816797643013253,0.9910112359550564
sternberg,MFC,food,30,0,0.0,0.0,,1.0,1.0
sternberg,MFC,landmark_place,30,3,0.1,0.11333333333333334,1.0,1.0,1.0
sternberg,MFC,landscape_nature,30,0,0.0,0.020000000000000004,0.0,0.5505617977528091,0.9910112359550564
sternberg,MFC,object,30,1,0.03333333333333333,0.02666666666666667,1.0,1.0,1.0
sternberg,MFC,scene_with_people,30,5,0.16666666666666666,0.1333333333333334,1.8,0.49592223741166186,0.9910112359550564
sternberg,MFC,vehicle,30,0,0.0,0.05333333333333333,0.0,0.2969016002723868,0.9910112359550564
