group,subject,unit,area,hemisphere,pref_image,pref_desc,pref_desc_type,n_images,text_variant,text_centering,image_space,rho_text,rho_text_null,rho_img,rho_text_given_img,rho_img_given_text,rho_text_img
MTL concept,1,34,amygdala,R,img_0040,a photo of a horse,fine,62,fine-only,centred,resnet50_avgpool,0.13531351725014082,-0.2551565977644966,0.29657858520267666,0.00041310280421854104,0.2663612407573983,0.4550639296156067
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,identity+fine,raw,clip_embed,-0.0034571139986820805,0.13477186629613247,-0.13647916760805265,0.11663949067314267,-0.1787913707812258,0.6607902922188346
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,identity+fine,raw,clip_ln_post,-0.0034571139986820805,0.13477186629613247,-0.02924373363981013,0.016315832304939618,-0.03330519932932152,0.5746341983976351
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,identity+fine,raw,resnet50_avgpool,-0.0034571139986820805,0.13477186629613247,0.02762889416358248,-0.025722744496965943,0.03758424591331499,0.6113531650130425
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,identity+fine,centred,clip_embed,-0.04865194006904418,0.09518058035368128,-0.13647916760805265,0.06980307169584232,-0.1452280498541982,0.712166624108705
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,identity+fine,centred,clip_ln_post,-0.04865194006904418,0.09518058035368128,-0.02924373363981013,-0.03942189674478243,0.006406146951558328,0.6955700541501635
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,identity+fine,centred,resnet50_avgpool,-0.04865194006904418,0.09518058035368128,0.02762889416358248,-0.10491611895275262,0.09704445170044335,0.7499685232100265
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,fine-only,raw,clip_embed,-0.07051326247939557,0.03510708831078177,-0.13647916760805265,-0.07755310691376238,-0.14019494774599203,-0.04567720519769109
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,fine-only,raw,clip_ln_post,-0.07051326247939557,0.03510708831078177,-0.02924373363981013,-0.07297128741141631,-0.034775620856995045,-0.07580848831647789
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,fine-only,raw,resnet50_avgpool,-0.07051326247939557,0.03510708831078177,0.02762889416358248,-0.06732429938584243,0.01794262106789221,-0.1405199688400469
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,fine-only,centred,clip_embed,-0.07025694156098201,0.011340490212917389,-0.13647916760805265,0.0071811443667512175,-0.11751296460180612,0.5580354872440451
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,fine-only,centred,clip_ln_post,-0.07025694156098201,0.011340490212917389,-0.02924373363981013,-0.0657451575413566,0.015461804049590291,0.593005947113478
MTL concept,1,36,amygdala,R,img_0044,a photo of a farm animal,fine,62,fine-only,centred,resnet50_avgpool,-0.07025694156098201,0.011340490212917389,0.02762889416358248,-0.10277107231880465,0.0800799763653182,0.5536104471304147
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,identity+fine,raw,clip_embed,-0.059903395999483786,-0.22883453048291635,0.288751562839185,-0.1098445769436636,0.3019537025727562,0.15249200470253232
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,identity+fine,raw,clip_ln_post,-0.059903395999483786,-0.22883453048291635,0.26755925160611116,-0.09838017125161928,0.27796145298789016,0.12750900409726196
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,identity+fine,raw,resnet50_avgpool,-0.059903395999483786,-0.22883453048291635,0.24087919390814835,-0.05313963239389745,0.23937410040330276,-0.0347042085020792
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,identity+fine,centred,clip_embed,0.2674471019618076,-0.3409946832918608,0.288751562839185,0.08028100376962397,0.13829376376808108,0.7502203679741924
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,identity+fine,centred,clip_ln_post,0.2674471019618076,-0.3409946832918608,0.26755925160611116,0.10441059325185877,0.10471623857872006,0.7515299607478558
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,identity+fine,centred,resnet50_avgpool,0.2674471019618076,-0.3409946832918608,0.24087919390814835,0.1586053028129836,0.10476623286936948,0.598181683847159
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,fine-only,raw,clip_embed,0.31235335314994395,0.025383611522507666,0.288751562839185,0.1581767859109773,0.09844933022408665,0.7151584736997934
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,fine-only,raw,clip_ln_post,0.31235335314994395,0.025383611522507666,0.26755925160611116,0.17603036862027224,0.0556199281871413,0.7434625653830249
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,fine-only,raw,resnet50_avgpool,0.31235335314994395,0.025383611522507666,0.24087919390814835,0.21535148742667287,0.06776077087640826,0.6074765677513563
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,fine-only,centred,clip_embed,0.20457467230237242,-0.2698882387546707,0.288751562839185,0.028133091417402594,0.20999445506817216,0.6365381515985561
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,fine-only,centred,clip_ln_post,0.20457467230237242,-0.2698882387546707,0.26755925160611116,0.04685073920011026,0.18210685726141426,0.6341380275897501
MTL concept,1,38,amygdala,R,img_0039,a photo of Donald Trump,identity,62,fine-only,centred,resnet50_avgpool,0.20457467230237242,-0.2698882387546707,0.24087919390814835,0.08725118238633381,0.15608536183287286,0.5574098526977156
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,identity+fine,raw,clip_embed,6.397211600901567e-05,-0.08158685488805703,0.0680893482014912,-0.041225521230896935,0.07954759278439379,0.5177350511758603
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,identity+fine,raw,clip_ln_post,6.397211600901567e-05,-0.08158685488805703,-0.012026303515483226,0.006807081521886834,-0.013818738789152888,0.4885228978919458
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,identity+fine,raw,resnet50_avgpool,6.397211600901567e-05,-0.08158685488805703,0.1414242117661187,-0.05867578757717288,0.1528881682245028,0.3803120162876522
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,identity+fine,centred,clip_embed,0.12483361529486478,-0.12493424339029573,0.0680893482014912,0.1074082281179984,-0.023329196805633997,0.681188617692698
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,identity+fine,centred,clip_ln_post,0.12483361529486478,-0.12493424339029573,-0.012026303515483226,0.16753742496562393,-0.11325104660582147,0.6140770588701088
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,identity+fine,centred,resnet50_avgpool,0.12483361529486478,-0.12493424339029573,0.1414242117661187,0.07433413080978893,0.0999403416066491,0.4075295896532693
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,fine-only,raw,clip_embed,-0.28074649472263447,-0.16850942010891726,0.0680893482014912,-0.27343250975613775,0.016015460913577886,-0.1887622188065867
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,fine-only,raw,clip_ln_post,-0.28074649472263447,-0.16850942010891726,-0.012026303515483226,-0.2901163758327823,-0.07713868144934331,-0.21472429175614674
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,fine-only,raw,resnet50_avgpool,-0.28074649472263447,-0.16850942010891726,0.1414242117661187,-0.27893452677845476,0.13755701142545318,-0.03374816688185259
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,fine-only,centred,clip_embed,0.05758635245909468,-0.12027537493177606,0.0680893482014912,0.016034486766983234,0.03976339336684551,0.671692241150055
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,fine-only,centred,clip_ln_post,0.05758635245909468,-0.12027537493177606,-0.012026303515483226,0.07904911736994526,-0.055556626205632516,0.5774816486977097
MTL concept,2,0,amygdala,L,img_0071,a photo of a watch or jewelry,fine,62,fine-only,centred,resnet50_avgpool,0.05758635245909468,-0.12027537493177606,0.1414242117661187,0.01694449750154776,0.13047008372838248,0.29381486751148117
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,identity+fine,raw,clip_embed,0.06835595502841194,-0.01148198595869791,-0.06289013363778406,0.11227150865677074,-0.10905613740562878,0.47801721706529193
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,identity+fine,raw,clip_ln_post,0.06835595502841194,-0.01148198595869791,-0.10863530925127476,0.12285725234490644,-0.1488232327203357,0.4007657256152313
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,identity+fine,raw,resnet50_avgpool,0.06835595502841194,-0.01148198595869791,-0.09788810105020591,0.09619283517825965,-0.11891177999160381,0.2488822911698888
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,identity+fine,centred,clip_embed,0.08962222827155845,0.04123547685648015,-0.06289013363778406,0.20726238114954368,-0.19754559803934815,0.7501007571746396
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,identity+fine,centred,clip_ln_post,0.08962222827155845,0.04123547685648015,-0.10863530925127476,0.3010877851013754,-0.3067725178746665,0.8059641471220359
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,identity+fine,centred,resnet50_avgpool,0.08962222827155845,0.04123547685648015,-0.09788810105020591,0.25911418338565473,-0.26191170472611586,0.7688646099748246
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,fine-only,raw,clip_embed,-0.06405697225966352,-0.14143552473535148,-0.06289013363778406,-0.035556032587513366,-0.0334018321816317,0.5457387460834346
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,fine-only,raw,clip_ln_post,-0.06405697225966352,-0.14143552473535148,-0.10863530925127476,0.007947978774918908,-0.08827647179315423,0.6452164541365798
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,fine-only,raw,resnet50_avgpool,-0.06405697225966352,-0.14143552473535148,-0.09788810105020591,-0.005222114180168268,-0.0743537408873874,0.6124191082581444
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,fine-only,centred,clip_embed,0.020709893040766036,-0.01786984149166068,-0.06289013363778406,0.0702103863501678,-0.09186887643958691,0.5790698000967495
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,fine-only,centred,clip_ln_post,0.020709893040766036,-0.01786984149166068,-0.10863530925127476,0.11450428362732562,-0.15601175304555365,0.6262450430252552
MTL concept,3,39,hippocampus,R,img_0020,a photo of Bill Gates,identity,62,fine-only,centred,resnet50_avgpool,0.020709893040766036,-0.01786984149166068,-0.09788810105020591,0.08965605576026763,-0.1308499512023004,0.5498060130394945
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,identity+fine,raw,clip_embed,0.1706400418190502,-0.14845367458245293,0.15532667169879297,0.12434200395192535,0.10197582589919586,0.36116112510422127
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,identity+fine,raw,clip_ln_post,0.1706400418190502,-0.14845367458245293,0.16134570721099276,0.12538958143956877,0.112224720828256,0.3349388708380673
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,identity+fine,raw,resnet50_avgpool,0.1706400418190502,-0.14845367458245293,0.11918706185128114,0.1384113109520846,0.06397057909306605,0.35284060211592244
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,identity+fine,centred,clip_embed,0.25507189844112504,0.0009658925900112357,0.15532667169879297,0.21384020602804482,-0.0628157189047898,0.7629011603317133
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,identity+fine,centred,clip_ln_post,0.25507189844112504,0.0009658925900112357,0.16134570721099276,0.20464242738531332,-0.04337626648358205,0.7426629828706507
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,identity+fine,centred,resnet50_avgpool,0.25507189844112504,0.0009658925900112357,0.11918706185128114,0.2487873942716009,-0.10424397969793021,0.7351524263533448
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,fine-only,raw,clip_embed,0.1847409697715456,0.14551900019593933,0.15532667169879297,0.10575038042963401,0.03070269350596906,0.7289727460797262
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,fine-only,raw,clip_ln_post,0.1847409697715456,0.14551900019593933,0.16134570721099276,0.10033346093527314,0.04205118380946683,0.7175501682100722
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,fine-only,raw,resnet50_avgpool,0.1847409697715456,0.14551900019593933,0.11918706185128114,0.14534037093288987,-0.030526742108636044,0.7521716984787136
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,fine-only,centred,clip_embed,0.29110172948016627,-0.04870115148927283,0.15532667169879297,0.27057327668208603,-0.108777070714229,0.7641692497322647
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,fine-only,centred,clip_ln_post,0.29110172948016627,-0.04870115148927283,0.16134570721099276,0.2606635401758744,-0.09033510830250918,0.7504696587768556
MTL concept,4,8,amygdala,L,img_0152,a photo of Kit Harington,identity,62,fine-only,centred,resnet50_avgpool,0.29110172948016627,-0.04870115148927283,0.11918706185128114,0.3154596596938546,-0.1735475191039299,0.7719795331367325
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,identity+fine,raw,clip_embed,-0.005417308299333951,0.05217061065322797,-0.10975914273731598,-0.02928752780601864,-0.11342630008992152,-0.20995453007140819
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,identity+fine,raw,clip_ln_post,-0.005417308299333951,0.05217061065322797,-0.12558417072281652,-0.035881365765334225,-0.13042125241729544,-0.2325460106699409
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,identity+fine,raw,resnet50_avgpool,-0.005417308299333951,0.05217061065322797,-0.24888222183296038,-0.06449104988624327,-0.25654710282334503,-0.22288916126230915
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,identity+fine,centred,clip_embed,-0.08366532897241151,0.0836128220365036,-0.10975914273731598,0.0027410163896453813,-0.07134588901167681,0.7778620564186561
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,identity+fine,centred,clip_ln_post,-0.08366532897241151,0.0836128220365036,-0.12558417072281652,0.021084251839515802,-0.09630133866435647,0.7720653912755674
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,identity+fine,centred,resnet50_avgpool,-0.08366532897241151,0.0836128220365036,-0.24888222183296038,0.12325344071579596,-0.26397092372697234,0.685417848832354
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,fine-only,raw,clip_embed,-0.17749506748377486,-0.11658000691635488,-0.10975914273731598,-0.15077614253306915,0.05567586465086466,0.8025438308337498
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,fine-only,raw,clip_ln_post,-0.17749506748377486,-0.11658000691635488,-0.12558417072281652,-0.130324001166738,0.03186458462197629,0.810918157242311
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,fine-only,raw,resnet50_avgpool,-0.17749506748377486,-0.11658000691635488,-0.24888222183296038,0.037583635270467784,-0.18109699318992428,0.8007728252488578
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,fine-only,centred,clip_embed,-0.2073036018236104,0.11204697267528668,-0.10975914273731598,-0.18861659142504694,0.06640337990002111,0.7401707695214658
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,fine-only,centred,clip_ln_post,-0.2073036018236104,0.11204697267528668,-0.12558417072281652,-0.1710459093708386,0.04078440752386938,0.7360766809984366
MTL concept,4,13,amygdala,L,img_0038,a photo of Jimmy Kimmel,identity,62,fine-only,centred,resnet50_avgpool,-0.2073036018236104,0.11204697267528668,-0.24888222183296038,-0.02493771534318101,-0.1429296039443524,0.7711544271093282
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,identity+fine,raw,clip_embed,0.19396645590796827,0.052558666849279324,0.1547468128549365,0.11842284842308991,0.003491958890769702,0.7869037596421243
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,identity+fine,raw,clip_ln_post,0.19396645590796827,0.052558666849279324,0.18169453934882396,0.08012517631521611,0.04074913312155321,0.8182589254651481
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,identity+fine,raw,resnet50_avgpool,0.19396645590796827,0.052558666849279324,0.10183910548112923,0.18619259160373794,-0.08562834063238331,0.7903568607014121
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,identity+fine,centred,clip_embed,0.1667130302187511,-0.14367308560080896,0.1547468128549365,0.07643603212861545,0.04369162023991822,0.7603964523136106
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,identity+fine,centred,clip_ln_post,0.1667130302187511,-0.14367308560080896,0.18169453934882396,0.04991443720311477,0.08858309498849137,0.7341098360342995
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,identity+fine,centred,resnet50_avgpool,0.1667130302187511,-0.14367308560080896,0.10183910548112923,0.1352769903940024,-0.02660283925964156,0.7200466223393276
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,fine-only,raw,clip_embed,0.06826599938914268,-0.3153785555822745,0.1547468128549365,0.09040854314265927,0.16550515132811738,-0.1310717008550515
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,fine-only,raw,clip_ln_post,0.06826599938914268,-0.3153785555822745,0.18169453934882396,0.10816813337680799,0.1996308191624519,-0.19809987670721024
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,fine-only,raw,resnet50_avgpool,0.06826599938914268,-0.3153785555822745,0.10183910548112923,0.09163878662145199,0.11868942566156072,-0.2056879720866999
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,fine-only,centred,clip_embed,0.2577282086848668,-0.15178068643979306,0.1547468128549365,0.21794502679268554,-0.0645116884423694,0.7581374084592716
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,fine-only,centred,clip_ln_post,0.2577282086848668,-0.15178068643979306,0.18169453934882396,0.1885963887171221,-0.032456487470181754,0.780980187232669
MTL concept,4,15,amygdala,L,img_0130,a photo of a temple or church,fine,62,fine-only,centred,resnet50_avgpool,0.2577282086848668,-0.15178068643979306,0.10183910548112923,0.2942162111450003,-0.17810034999117583,0.7977517955679544
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,identity+fine,raw,clip_embed,0.14212950088618193,0.13093711182600654,0.20869654758220973,-0.02955459906242881,0.1571228620525878,0.7694870236423579
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,identity+fine,raw,clip_ln_post,0.14212950088618193,0.13093711182600654,0.2358543069126808,-0.059613421021822675,0.19895256592350793,0.7617490526554862
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,identity+fine,raw,resnet50_avgpool,0.14212950088618193,0.13093711182600654,0.2640953534891725,-0.11615437767925553,0.2517471991792322,0.7953222687939651
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,identity+fine,centred,clip_embed,0.2419157809487272,0.18500310464712846,0.20869654758220973,0.1484501560716771,0.08055027837878706,0.6055827248249226
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,identity+fine,centred,clip_ln_post,0.2419157809487272,0.18500310464712846,0.2358543069126808,0.12692380853709756,0.11438180624504145,0.6121859657898023
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,identity+fine,centred,resnet50_avgpool,0.2419157809487272,0.18500310464712846,0.2640953534891725,0.108791008009406,0.15367220731821013,0.597391681643297
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,fine-only,raw,clip_embed,-0.02331445311381713,-0.11065652939296884,0.20869654758220973,-0.05613906008179439,0.21459274250770932,0.14844593668103034
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,fine-only,raw,clip_ln_post,-0.02331445311381713,-0.11065652939296884,0.2358543069126808,-0.05411402521427571,0.24058384203038558,0.12243693466421098
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,fine-only,raw,resnet50_avgpool,-0.02331445311381713,-0.11065652939296884,0.2640953534891725,-0.03411978879745874,0.26518669206218115,0.03624578123626725
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,fine-only,centred,clip_embed,0.15227533154800996,-0.015307679176336025,0.20869654758220973,-0.009603354720697363,0.14470742061864095,0.7589527667196934
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,fine-only,centred,clip_ln_post,0.15227533154800996,-0.015307679176336025,0.2358543069126808,-0.04536444361570759,0.1876142917704304,0.7658277509854461
MTL concept,4,25,amygdala,L,img_0156,a photo of a marine animal,fine,62,fine-only,centred,resnet50_avgpool,0.15227533154800996,-0.015307679176336025,0.2640953534891725,-0.04777550763326017,0.2232431480680558,0.7010209140097476
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,identity+fine,raw,clip_embed,0.06993881118535954,-0.12192291764101193,0.15270624811529074,0.07627469123801622,0.15565485600317192,-0.03532440214123248
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,identity+fine,raw,clip_ln_post,0.06993881118535954,-0.12192291764101193,0.15991436611512128,0.07665833920701565,0.16290241172012737,-0.03555132549545881
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,identity+fine,raw,resnet50_avgpool,0.06993881118535954,-0.12192291764101193,0.1810346559188205,0.09074624490084728,0.18979807639559074,-0.10398132364771075
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,identity+fine,centred,clip_embed,0.05830852484126557,0.008791402865669125,0.15270624811529074,-0.04076069479413135,0.14702209102023311,0.5940382975645851
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,identity+fine,centred,clip_ln_post,0.05830852484126557,0.008791402865669125,0.15991436611512128,-0.031897318113484674,0.1524570917564224,0.531417726729819
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,identity+fine,centred,resnet50_avgpool,0.05830852484126557,0.008791402865669125,0.1810346559188205,0.027668043818004178,0.17382988266986046,0.1740720779444687
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,fine-only,raw,clip_embed,-0.0660183693321218,-0.08486533602698294,0.15270624811529074,-0.2282989710476091,0.26489927267905805,0.667641157250921
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,fine-only,raw,clip_ln_post,-0.0660183693321218,-0.08486533602698294,0.15991436611512128,-0.2240245174824435,0.26537651116476974,0.6445074556231484
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,fine-only,raw,resnet50_avgpool,-0.0660183693321218,-0.08486533602698294,0.1810346559188205,-0.12640129601366415,0.20990667582929035,0.2920661433923823
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,fine-only,centred,clip_embed,0.005745997695108834,-0.07462074902771766,0.15270624811529074,-0.12543568495035842,0.19660788938812654,0.6526699313838137
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,fine-only,centred,clip_ln_post,0.005745997695108834,-0.07462074902771766,0.15991436611512128,-0.12314291967276857,0.20079170864018434,0.6276820257724361
MTL concept,4,33,hippocampus,L,img_0114,a photo of Gene Simmons,identity,62,fine-only,centred,resnet50_avgpool,0.005745997695108834,-0.07462074902771766,0.1810346559188205,-0.04872714587794563,0.1871849523001004,0.28543876794535067
MTL concept,4,39,amygdala,R,img_0122,a photo of Michael Jackson,identity,62,identity+fine,raw,clip_embed,-0.2092604733382887,-0.013626620161088586,0.3306129178503049,-0.18463159869297593,0.3166519499176693,-0.10904102048209992
MTL concept,4,39,amygdala,R,img_0122,a photo of Michael Jackson,identity,62,identity+fine,raw,clip_ln_post,-0.2092604733382887,-0.013626620161088586,0.309561579218374,-0.19726670876921473,0.30202305888252184,-0.07160150246685869
MTL concept,4,39,amygdala,R,img_0122,a photo of Michael Jackson,identity,62,identity+fine,raw,resnet50_avgpool,-0.2092604733382887,-0.013626620161088586,0.28649556169393414,-0.1497347322583784,0.24812487528131352,-0.24493260438927184
MTL concept,4,39,amygdala,R,img_0122,a photo of Michael Jackson,identity,62,identity+fine,centred,clip_embed,0.29939345301266074,0.36332277049914474,0.3306129178503049,0.07829910441631077,0.1661425808065558,0.7604131814427689
